20140401,4,2
20140402,4,1
20140403,4,1
20140404,4,3
20140407,4,3
20140408,4,3
20140409,4,3
20140410,4,9
20140411,4,6
20140414,4,6
20140415,4,4
20140416,4,7
20140417,4,12
20140418,4,8
20140421,4,10
20140422,4,13
20140423,4,10
20140424,4,13
20140425,4,8
20140428,4,10
20140429,4,9
20140430,4,10
20140502,5,10
20140507,5,15
20140508,5,13
20140509,5,16
20140512,5,12
20140513,5,14
20140514,5,10
20140515,5,14
20140516,5,16
20140519,5,13
20140520,5,14
20140521,5,7
20140522,5,9
20140523,5,12
20140526,5,14
20140527,5,10
20140528,5,12
20140529,5,12
20140530,5,10
20140602,6,13
20140603,6,12
20140605,6,10
20140609,6,15
20140610,6,16
20140611,6,15
20140612,6,11
20140613,6,18
20140616,6,11
20140617,6,17
20140618,6,14
20140619,6,12
20140620,6,14
20140623,6,17
20140624,6,17
20140625,6,15
20140626,6,11
20140627,6,19
20140630,6,15
20140701,7,16
20140702,7,18
20140703,7,16
20140704,7,14
20140707,7,13
20140708,7,13
20140709,7,14
20140710,7,15
20140711,7,14
20140714,7,11
20140715,7,14
20140716,7,14
20140717,7,13
20140718,7,13
20140721,7,15
20140722,7,14
20140723,7,11
20140724,7,33
20140725,7,41
20140728,7,52
20140729,7,55
20140730,7,53
20140731,7,52
20140801,8,52
20140804,8,53
20140805,8,60
20140806,8,59
20140807,8,56
20140808,8,64
20140811,8,56
20140812,8,60
20140813,8,54
20140814,8,69
